ID,Category,Skills
8005,Data Analyst,"Data Cleaning, Tableau, Power BI"
8006,Software Engineer,"Docker, Git, System Design"
8007,Data Analyst,"Machine Learning, Python, NLP, Pandas"
8008,ML Engineer,"PyTorch, Cloud, TensorFlow, Computer Vision, MLOps"
8009,Data Analyst,"Pandas, Statistics, Machine Learning, SQL, Deep Learning, NLP"
8010,Data Analyst,"Data Cleaning, Reporting, SQL, Power BI, Tableau, Excel"
8011,ML Engineer,"Computer Vision, Keras, PyTorch, MLOps"
8012,Data Analyst,"Statistics, SQL, Python, NLP, Deep Learning"
8013,Product Manager,"Scrum, Agile, Product Roadmap, Stakeholder Management, User Stories"
8014,ML Engineer,"Keras, Python, Computer Vision, Cloud, MLOps"
8015,Data Analyst,"SQL, Excel, Data Cleaning, Reporting"
8016,Product Manager,"User Stories, Stakeholder Management, Scrum, Product Roadmap, Agile"
8017,Data Analyst,"Deep Learning, NLP, Machine Learning, SQL, Python, Pandas"
8018,ML Engineer,"Python, MLOps, PyTorch, Keras, Computer Vision"
8019,Data Analyst,"SQL, NLP, Statistics, Pandas, Python"
8020,Data Analyst,"SQL, Power BI, Data Cleaning"
8021,Software Engineer,"Java, Spring Boot, REST APIs"
8022,Software Engineer,"Docker, Git, Java, System Design, Spring Boot, Agile, REST APIs"
8023,Product Manager,"Stakeholder Management, User Stories, Product Roadmap, Agile, Scrum"
8024,Product Manager,"User Stories, Scrum, Stakeholder Management"
8025,Data Analyst,"Python, Pandas, SQL"
8026,Data Analyst,"Power BI, Data Cleaning, Excel"
8027,Data Analyst,"SQL, Reporting, Data Cleaning, Excel"
8028,ML Engineer,"PyTorch, Cloud, Computer Vision, MLOps"
8029,ML Engineer,"MLOps, Keras, TensorFlow, Python, PyTorch"
8030,Data Analyst,"Data Cleaning, Power BI, Excel, Tableau"
8031,Data Analyst,"NLP, Statistics, Machine Learning"
8032,Product Manager,"User Stories, Agile, Stakeholder Management"
8033,Data Analyst,"Tableau, Data Cleaning, Excel"
8034,ML Engineer,"MLOps, TensorFlow, Keras"
8035,ML Engineer,"PyTorch, Cloud, MLOps, Python, Computer Vision, Keras"
8036,Data Analyst,"Data Cleaning, SQL, Power BI, Reporting"
8037,Software Engineer,"Java, Git, Agile, Spring Boot, REST APIs, System Design"
8038,Product Manager,"Stakeholder Management, Agile, Scrum, Product Roadmap"
8039,Software Engineer,"Java, Spring Boot, Docker"
8040,Product Manager,"Scrum, Agile, Product Roadmap, Stakeholder Management"
8041,Software Engineer,"Java, REST APIs, Agile, Spring Boot"
8042,Software Engineer,"Docker, Git, Spring Boot"
8043,ML Engineer,"Computer Vision, MLOps, PyTorch, Keras, Cloud"
8044,Product Manager,"Stakeholder Management, Scrum, User Stories"
8045,Data Analyst,"Data Cleaning, SQL, Reporting"
8046,Software Engineer,"Java, Docker, Agile"
8047,Product Manager,"Agile, Stakeholder Management, User Stories, Product Roadmap, Scrum"
8048,Software Engineer,"Docker, Spring Boot, Java, REST APIs, Git"
8049,Product Manager,"Scrum, Stakeholder Management, Agile, User Stories, Product Roadmap"
8050,Product Manager,"Scrum, User Stories, Product Roadmap"
8051,Data Analyst,"Excel, Power BI, Tableau, SQL"
8052,Product Manager,"Scrum, Product Roadmap, Agile"
8053,Product Manager,"User Stories, Stakeholder Management, Scrum, Agile"
8054,Product Manager,"Stakeholder Management, User Stories, Agile"
8055,Product Manager,"Stakeholder Management, Product Roadmap, Agile, User Stories, Scrum"
8056,Software Engineer,"Java, REST APIs, Agile, Git, Spring Boot"
8057,Data Analyst,"Excel, Tableau, SQL, Power BI"
8058,Data Analyst,"SQL, Deep Learning, NLP, Machine Learning, Pandas, Python"
8059,Software Engineer,"Git, Java, Agile, Docker, System Design, REST APIs"
8060,Product Manager,"Agile, Stakeholder Management, User Stories, Scrum"
8061,Software Engineer,"System Design, Java, REST APIs"
8062,ML Engineer,"PyTorch, MLOps, Cloud"
8063,Software Engineer,"Docker, Java, Git, Agile, REST APIs"
8064,Software Engineer,"Spring Boot, Java, Git, System Design, Docker, REST APIs"
8065,Data Analyst,"Pandas, Statistics, Machine Learning, NLP"
8066,Data Analyst,"Machine Learning, Deep Learning, NLP, Statistics, Pandas, SQL"
8067,Product Manager,"Stakeholder Management, Agile, Product Roadmap"
8068,Software Engineer,"Docker, Agile, REST APIs, Spring Boot"
8069,ML Engineer,"Python, Cloud, TensorFlow"
8070,Data Analyst,"Tableau, Excel, Reporting, Power BI, Data Cleaning"
8071,Product Manager,"User Stories, Stakeholder Management, Scrum, Agile, Product Roadmap"
8072,ML Engineer,"TensorFlow, Python, Cloud, MLOps, Computer Vision, Keras"
8073,Product Manager,"User Stories, Scrum, Stakeholder Management, Agile, Product Roadmap"
8074,Data Analyst,"Pandas, Statistics, Machine Learning"
8075,Data Analyst,"Deep Learning, NLP, SQL, Statistics, Machine Learning, Python, Pandas"
8076,Product Manager,"Scrum, User Stories, Stakeholder Management"
8077,Product Manager,"User Stories, Scrum, Agile, Stakeholder Management"
8078,Data Analyst,"Statistics, Machine Learning, Python, Pandas, NLP"
8079,Data Analyst,"SQL, Tableau, Data Cleaning"
8080,Data Analyst,"SQL, Excel, Tableau"
8081,Software Engineer,"Docker, Java, REST APIs, Spring Boot, System Design, Agile"
8082,ML Engineer,"Python, Keras, PyTorch, Cloud, Computer Vision, MLOps"
8083,Product Manager,"Agile, Scrum, Stakeholder Management"
8084,Product Manager,"Scrum, User Stories, Agile, Product Roadmap, Stakeholder Management"
8085,Product Manager,"Product Roadmap, Scrum, Agile, Stakeholder Management"
8086,ML Engineer,"Keras, TensorFlow, Cloud, MLOps, Python, Computer Vision"
8087,ML Engineer,"Computer Vision, Python, Cloud"
8088,Data Analyst,"Python, Deep Learning, Machine Learning, NLP, SQL, Statistics, Pandas"
8089,Software Engineer,"Spring Boot, REST APIs, Git, Docker, Java"
8090,Product Manager,"Stakeholder Management, Agile, Product Roadmap"
8091,Data Analyst,"Python, Deep Learning, Pandas, Statistics"
8092,Software Engineer,"Agile, REST APIs, Git"
8093,Product Manager,"User Stories, Product Roadmap, Scrum, Agile"
8094,Software Engineer,"Java, Docker, Git, System Design, Agile"
8095,Product Manager,"Stakeholder Management, Agile, Scrum, User Stories, Product Roadmap"
8096,Data Analyst,"Reporting, Data Cleaning, SQL, Tableau"
8097,Data Analyst,"Deep Learning, Machine Learning, Python, Pandas, NLP, SQL"
8098,ML Engineer,"TensorFlow, Computer Vision, MLOps"
8099,ML Engineer,"Cloud, Python, PyTorch, TensorFlow, MLOps, Keras"
8100,Data Analyst,"Excel, Reporting, Tableau, Data Cleaning, Power BI, SQL"
8101,Data Analyst,"Python, SQL, Deep Learning"
8102,Data Analyst,"Python, NLP, Deep Learning, Machine Learning, SQL, Statistics"
8103,ML Engineer,"MLOps, Cloud, Python, Keras"
8104,ML Engineer,"Keras, MLOps, Computer Vision, PyTorch, Cloud, Python, TensorFlow"
8105,ML Engineer,"PyTorch, Computer Vision, Cloud, MLOps"
8106,Data Analyst,"Data Cleaning, Power BI, Reporting, Tableau"
8107,ML Engineer,"MLOps, TensorFlow, Computer Vision, Keras, PyTorch, Cloud"
8108,Data Analyst,"Deep Learning, Python, Statistics, NLP, Machine Learning, SQL"
8109,Data Analyst,"Tableau, Power BI, Reporting, Data Cleaning"
8110,Data Analyst,"Excel, Power BI, Data Cleaning"
8111,Software Engineer,"System Design, Java, Spring Boot, Git, Docker, Agile"
8112,Data Analyst,"Data Cleaning, Excel, Reporting"
8113,Software Engineer,"System Design, Spring Boot, Java, Git, REST APIs, Agile"
8114,Software Engineer,"Git, Spring Boot, Agile, Docker, Java, System Design"
8115,ML Engineer,"Computer Vision, TensorFlow, PyTorch, Cloud"
8116,Data Analyst,"Statistics, NLP, Pandas, SQL, Deep Learning, Machine Learning, Python"
8117,Data Analyst,"Pandas, NLP, SQL, Python"
8118,Product Manager,"Stakeholder Management, User Stories, Agile, Product Roadmap, Scrum"
8119,ML Engineer,"Cloud, PyTorch, TensorFlow, Keras"
8120,Software Engineer,"Git, Docker, Spring Boot, System Design, Agile, Java"
8121,Data Analyst,"Statistics, Python, NLP, Pandas"
8122,Software Engineer,"REST APIs, Git, Docker, Agile, Spring Boot"
8123,ML Engineer,"Cloud, MLOps, Python, PyTorch, TensorFlow"
8124,Data Analyst,"SQL, Data Cleaning, Power BI, Reporting, Excel, Tableau"
8125,Product Manager,"Agile, Scrum, User Stories, Stakeholder Management"
8126,Data Analyst,"Tableau, Power BI, SQL, Excel, Data Cleaning"
8127,Product Manager,"Agile, Scrum, User Stories"
8128,Data Analyst,"Deep Learning, Python, Statistics, Machine Learning"
8129,Software Engineer,"Git, Docker, Spring Boot"
8130,Data Analyst,"NLP, SQL, Deep Learning, Pandas"
8131,Product Manager,"Scrum, User Stories, Product Roadmap, Stakeholder Management"
8132,Product Manager,"Product Roadmap, Scrum, User Stories"
8133,Product Manager,"Agile, User Stories, Stakeholder Management, Scrum"
8134,Data Analyst,"Reporting, Data Cleaning, Tableau, Excel"
8135,Data Analyst,"SQL, Tableau, Data Cleaning, Power BI, Excel"
8136,Data Analyst,"Pandas, Machine Learning, Python, Statistics, Deep Learning, NLP"
8137,Software Engineer,"Agile, Git, Docker, Spring Boot, REST APIs, Java"
8138,Data Analyst,"Machine Learning, SQL, Python, Statistics"
8139,Product Manager,"Scrum, Agile, Product Roadmap, User Stories"
8140,Data Analyst,"Tableau, Data Cleaning, Excel"
8141,Data Analyst,"Deep Learning, SQL, Machine Learning, Python"
8142,Data Analyst,"Statistics, NLP, Python"
8143,Data Analyst,"Pandas, Machine Learning, Python"
8144,Data Analyst,"NLP, Python, Machine Learning"
8145,Data Analyst,"Statistics, Pandas, NLP, Deep Learning, Machine Learning, Python"
8146,Product Manager,"User Stories, Scrum, Agile, Product Roadmap"
8147,ML Engineer,"Computer Vision, Cloud, TensorFlow, Keras, PyTorch, MLOps"
8148,Product Manager,"Scrum, User Stories, Product Roadmap"
8149,Data Analyst,"Python, SQL, Pandas, NLP, Machine Learning"
8150,Product Manager,"Scrum, Product Roadmap, User Stories, Agile"
8151,Data Analyst,"Excel, Reporting, Tableau, Power BI"
8152,Product Manager,"User Stories, Agile, Scrum, Product Roadmap, Stakeholder Management"
8153,Software Engineer,"Git, REST APIs, Docker, Agile"
8154,Software Engineer,"REST APIs, Agile, Spring Boot, System Design, Java"
8155,Software Engineer,"Agile, Java, Git, Spring Boot, Docker"
8156,ML Engineer,"Python, PyTorch, TensorFlow, Keras, MLOps, Computer Vision, Cloud"
8157,Data Analyst,"Tableau, SQL, Data Cleaning, Reporting"
8158,Data Analyst,"Excel, Reporting, Power BI, SQL, Tableau"
8159,Product Manager,"Agile, Product Roadmap, Scrum, User Stories, Stakeholder Management"
8160,Software Engineer,"Java, Agile, System Design, Spring Boot"
8161,Data Analyst,"Pandas, Python, Deep Learning, SQL, Statistics, NLP"
8162,ML Engineer,"Cloud, Keras, MLOps"
8163,Product Manager,"Product Roadmap, Stakeholder Management, Agile, Scrum, User Stories"
8164,ML Engineer,"TensorFlow, Python, MLOps, Keras, Cloud, PyTorch"
8165,Data Analyst,"Data Cleaning, Tableau, Power BI, Excel, SQL, Reporting"
8166,Data Analyst,"Reporting, SQL, Power BI, Excel"
8167,Data Analyst,"Python, NLP, Pandas, Statistics, SQL, Machine Learning"
8168,Product Manager,"User Stories, Agile, Product Roadmap, Stakeholder Management"
8169,ML Engineer,"TensorFlow, Python, Keras, MLOps, Cloud, Computer Vision, PyTorch"
8170,ML Engineer,"Computer Vision, TensorFlow, Cloud, Keras, PyTorch"
8171,Data Analyst,"Excel, Tableau, Power BI, Reporting, SQL, Data Cleaning"
8172,Product Manager,"Product Roadmap, User Stories, Scrum"
8173,Data Analyst,"Reporting, Data Cleaning, Excel, Power BI, SQL, Tableau"
8174,ML Engineer,"Cloud, Computer Vision, MLOps, Python, TensorFlow"
8175,Software Engineer,"Spring Boot, Java, System Design, Agile, REST APIs, Git"
8176,Product Manager,"Stakeholder Management, Agile, User Stories"
8177,Data Analyst,"SQL, Excel, Data Cleaning, Power BI, Reporting, Tableau"
8178,Data Analyst,"Power BI, Tableau, Reporting"
8179,Product Manager,"Scrum, Stakeholder Management, User Stories"
8180,Data Analyst,"Statistics, Python, SQL, Deep Learning, NLP, Pandas"
8181,Data Analyst,"Excel, Power BI, Reporting, Tableau, Data Cleaning, SQL"
8182,ML Engineer,"TensorFlow, Computer Vision, Keras, MLOps, Python, Cloud"
8183,ML Engineer,"TensorFlow, Computer Vision, Keras, PyTorch, MLOps"
8184,ML Engineer,"Computer Vision, MLOps, TensorFlow, Cloud"
8185,Product Manager,"Stakeholder Management, Agile, User Stories, Scrum"
8186,Software Engineer,"Spring Boot, REST APIs, Git, Java"
8187,Product Manager,"User Stories, Product Roadmap, Stakeholder Management"
8188,Data Analyst,"SQL, Statistics, Python, NLP, Machine Learning, Pandas"
8189,Product Manager,"Stakeholder Management, Agile, User Stories, Product Roadmap"
8190,Product Manager,"Scrum, Stakeholder Management, Product Roadmap"
8191,ML Engineer,"TensorFlow, MLOps, Keras, PyTorch"
8192,Data Analyst,"Tableau, SQL, Excel, Data Cleaning, Power BI"
8193,Data Analyst,"Python, Deep Learning, Machine Learning, Pandas, NLP"
8194,Product Manager,"Agile, Stakeholder Management, Product Roadmap"
8195,Product Manager,"Agile, User Stories, Product Roadmap"
8196,Data Analyst,"Deep Learning, Pandas, Statistics, Python"
8197,Software Engineer,"Spring Boot, Java, Git"
8198,Data Analyst,"Reporting, Tableau, SQL, Data Cleaning, Power BI, Excel"
8199,Software Engineer,"REST APIs, Java, Docker, Agile"
8200,Software Engineer,"REST APIs, Git, System Design, Docker, Spring Boot, Java"
8201,Product Manager,"Scrum, Product Roadmap, User Stories, Stakeholder Management, Agile"
8202,Data Analyst,"Power BI, Excel, Reporting"
8203,Data Analyst,"Excel, Tableau, SQL, Power BI, Data Cleaning, Reporting"
8204,Data Analyst,"SQL, Machine Learning, Python, Deep Learning"
8205,Data Analyst,"NLP, Deep Learning, Statistics, Python, Machine Learning"
8206,Data Analyst,"Tableau, Reporting, Data Cleaning, SQL"
8207,Data Analyst,"Data Cleaning, Tableau, Reporting"
8208,Product Manager,"Stakeholder Management, User Stories, Scrum, Product Roadmap"
8209,Data Analyst,"Deep Learning, Statistics, SQL, Python"
8210,Data Analyst,"SQL, Deep Learning, Pandas, NLP, Python, Machine Learning, Statistics"
8211,Product Manager,"Product Roadmap, Stakeholder Management, Scrum"
8212,Software Engineer,"Java, Spring Boot, System Design, Docker, Agile, Git, REST APIs"
8213,Software Engineer,"Docker, Spring Boot, REST APIs"
8214,Data Analyst,"Pandas, NLP, Deep Learning"
8215,Product Manager,"Product Roadmap, User Stories, Agile"
8216,Data Analyst,"Reporting, Data Cleaning, SQL, Power BI, Tableau, Excel"
8217,Data Analyst,"Deep Learning, SQL, Machine Learning, Statistics"
8218,ML Engineer,"Computer Vision, Python, MLOps, Keras, PyTorch, Cloud"
8219,Data Analyst,"Deep Learning, Machine Learning, Pandas"
8220,Data Analyst,"Statistics, Deep Learning, Machine Learning, Python, SQL, NLP"
8221,Product Manager,"Scrum, User Stories, Product Roadmap, Agile, Stakeholder Management"
8222,Product Manager,"Agile, Product Roadmap, Scrum, Stakeholder Management"
8223,Data Analyst,"Python, SQL, Machine Learning, Statistics, NLP, Pandas, Deep Learning"
8224,Data Analyst,"Power BI, Excel, Data Cleaning, Reporting, Tableau"
8225,Product Manager,"Scrum, User Stories, Stakeholder Management"
8226,Data Analyst,"Pandas, Deep Learning, SQL, NLP, Machine Learning"
8227,Product Manager,"User Stories, Agile, Stakeholder Management, Product Roadmap, Scrum"
8228,Product Manager,"Agile, User Stories, Scrum, Product Roadmap"
8229,Data Analyst,"Excel, Data Cleaning, Power BI, Reporting, SQL, Tableau"
8230,Data Analyst,"Reporting, Tableau, Excel, Data Cleaning"
8231,Data Analyst,"NLP, Deep Learning, Pandas, Statistics"
8232,Data Analyst,"SQL, Machine Learning, Statistics, Deep Learning, Pandas"
8233,Product Manager,"Agile, User Stories, Product Roadmap, Scrum, Stakeholder Management"
8234,Product Manager,"User Stories, Agile, Stakeholder Management, Scrum, Product Roadmap"
8235,Data Analyst,"Deep Learning, SQL, Machine Learning, Statistics, Python"
8236,Product Manager,"User Stories, Product Roadmap, Stakeholder Management, Scrum"
8237,Data Analyst,"Data Cleaning, Power BI, Tableau"
8238,Software Engineer,"System Design, Java, Git, Agile, Spring Boot"
8239,Data Analyst,"Reporting, SQL, Data Cleaning, Excel"
8240,ML Engineer,"Cloud, MLOps, Keras, PyTorch, Computer Vision, Python"
8241,Software Engineer,"System Design, Git, Spring Boot"
8242,ML Engineer,"Computer Vision, Keras, MLOps, Python, Cloud"
8243,ML Engineer,"PyTorch, Python, Computer Vision, MLOps, Cloud"
8244,Software Engineer,"Java, Git, REST APIs, Docker"
8245,Data Analyst,"Python, Pandas, Statistics"
8246,Data Analyst,"SQL, Deep Learning, Statistics"
8247,Data Analyst,"Statistics, Machine Learning, Deep Learning, Python, NLP"
8248,ML Engineer,"Cloud, PyTorch, Computer Vision, Python"
8249,Software Engineer,"Git, Java, System Design"
8250,Data Analyst,"Machine Learning, SQL, Statistics"
8251,Software Engineer,"Agile, System Design, Java, Git, REST APIs, Docker, Spring Boot"
8252,Data Analyst,"Excel, Data Cleaning, Reporting, Tableau, SQL, Power BI"
8253,ML Engineer,"Computer Vision, Python, PyTorch, Keras, TensorFlow, Cloud"
8254,Software Engineer,"Git, Agile, Spring Boot"
8255,ML Engineer,"Computer Vision, PyTorch, Python, Keras, TensorFlow"
8256,ML Engineer,"Cloud, PyTorch, Keras, Python, MLOps, Computer Vision"
8257,Software Engineer,"REST APIs, Spring Boot, Docker"
8258,ML Engineer,"PyTorch, Computer Vision, MLOps, Keras"
8259,Product Manager,"Product Roadmap, Agile, Stakeholder Management, User Stories, Scrum"
8260,Software Engineer,"Docker, System Design, Spring Boot, Java"
8261,Data Analyst,"SQL, Power BI, Tableau, Excel, Data Cleaning, Reporting"
8262,Data Analyst,"Data Cleaning, Excel, Reporting, SQL, Tableau"
8263,Data Analyst,"Pandas, NLP, Deep Learning, SQL, Statistics, Machine Learning"
8264,Software Engineer,"Docker, System Design, Agile"
8265,Product Manager,"Stakeholder Management, Product Roadmap, Agile"
8266,ML Engineer,"TensorFlow, PyTorch, Computer Vision, Cloud, MLOps, Keras"
8267,Product Manager,"Stakeholder Management, Agile, Product Roadmap, Scrum, User Stories"
8268,ML Engineer,"TensorFlow, Python, Keras, PyTorch, Cloud, MLOps"
8269,ML Engineer,"Keras, Cloud, PyTorch, Python"
8270,Data Analyst,"Data Cleaning, Tableau, Excel, Power BI"
8271,ML Engineer,"Python, TensorFlow, Computer Vision, MLOps, Cloud"
8272,Data Analyst,"Python, Machine Learning, NLP, Statistics, Pandas"
8273,Software Engineer,"Git, Java, Docker, Agile, REST APIs, Spring Boot, System Design"
8274,Data Analyst,"Excel, SQL, Data Cleaning, Reporting, Power BI, Tableau"
8275,Software Engineer,"Agile, Docker, REST APIs, Git"
8276,Product Manager,"Scrum, Product Roadmap, User Stories, Stakeholder Management, Agile"
8277,Software Engineer,"Docker, Spring Boot, System Design, REST APIs, Agile, Java"
8278,Data Analyst,"Excel, Tableau, Power BI, SQL, Data Cleaning, Reporting"
8279,Data Analyst,"Power BI, Tableau, SQL, Data Cleaning"
8280,Data Analyst,"Python, Statistics, Deep Learning, Machine Learning, Pandas, SQL, NLP"
8281,Software Engineer,"REST APIs, Docker, Spring Boot, Java, Agile"
8282,ML Engineer,"Python, Keras, PyTorch, TensorFlow, Computer Vision, MLOps, Cloud"
8283,Data Analyst,"SQL, Deep Learning, Machine Learning"
8284,ML Engineer,"Keras, MLOps, Computer Vision, Cloud"
8285,Software Engineer,"Spring Boot, REST APIs, Git, Agile"
8286,Product Manager,"Stakeholder Management, Agile, Product Roadmap"
8287,Data Analyst,"SQL, Python, Machine Learning, NLP, Pandas, Statistics, Deep Learning"
8288,Product Manager,"Agile, Product Roadmap, Stakeholder Management, User Stories"
8289,Data Analyst,"Excel, Tableau, Power BI"
8290,ML Engineer,"Python, Computer Vision, TensorFlow"
8291,Software Engineer,"Agile, Spring Boot, Java, REST APIs, System Design"
8292,Software Engineer,"System Design, Git, REST APIs, Java, Agile, Spring Boot, Docker"
8293,Product Manager,"Product Roadmap, Scrum, Stakeholder Management, Agile"
8294,Data Analyst,"Python, Statistics, Deep Learning, NLP, Machine Learning, Pandas, SQL"
8295,Product Manager,"Agile, User Stories, Scrum, Product Roadmap, Stakeholder Management"
8296,ML Engineer,"Python, PyTorch, MLOps, Keras, Cloud, TensorFlow"
8297,Product Manager,"User Stories, Scrum, Product Roadmap, Agile"
8298,Software Engineer,"Java, REST APIs, Docker, Agile, Git"
8299,Data Analyst,"NLP, SQL, Statistics, Machine Learning, Deep Learning"
8300,Product Manager,"User Stories, Scrum, Product Roadmap, Stakeholder Management"
8301,Data Analyst,"Machine Learning, Statistics, Python"
8302,Data Analyst,"Power BI, SQL, Data Cleaning, Tableau, Excel"
8303,Product Manager,"Stakeholder Management, Agile, Product Roadmap"
8304,Data Analyst,"Deep Learning, NLP, Python, Statistics, Pandas, Machine Learning"
8305,Software Engineer,"Git, System Design, Spring Boot, Agile"
8306,Data Analyst,"Machine Learning, Python, Deep Learning, Pandas, NLP, Statistics"
8307,Software Engineer,"REST APIs, Docker, System Design, Spring Boot, Agile, Git, Java"
8308,ML Engineer,"MLOps, Keras, TensorFlow, PyTorch, Cloud, Computer Vision"
8309,Product Manager,"Stakeholder Management, Agile, User Stories"
8310,Software Engineer,"System Design, REST APIs, Agile, Java, Docker, Spring Boot, Git"
8311,Software Engineer,"REST APIs, Spring Boot, System Design"
8312,ML Engineer,"Computer Vision, Keras, PyTorch, MLOps"
8313,Data Analyst,"SQL, Power BI, Excel, Data Cleaning, Tableau"
8314,Data Analyst,"Tableau, Power BI, Reporting, Excel, Data Cleaning"
8315,Data Analyst,"Statistics, Deep Learning, NLP"
8316,ML Engineer,"Computer Vision, Keras, Cloud, PyTorch, Python, TensorFlow, MLOps"
8317,Software Engineer,"Java, System Design, Docker"
8318,Product Manager,"Stakeholder Management, Product Roadmap, User Stories, Scrum, Agile"
8319,Product Manager,"Scrum, User Stories, Agile, Product Roadmap"
8320,Data Analyst,"Machine Learning, SQL, NLP, Statistics"
8321,Software Engineer,"Git, Agile, System Design, REST APIs, Spring Boot, Java, Docker"
8322,ML Engineer,"Cloud, PyTorch, TensorFlow"
8323,Data Analyst,"Deep Learning, Machine Learning, SQL"
8324,Data Analyst,"Pandas, Statistics, NLP, Machine Learning, SQL, Python"
8325,ML Engineer,"Computer Vision, TensorFlow, Cloud, MLOps, PyTorch, Python"
8326,Data Analyst,"Excel, SQL, Tableau, Reporting, Data Cleaning, Power BI"
8327,Software Engineer,"REST APIs, Spring Boot, Git, Docker, Java"
8328,Product Manager,"Product Roadmap, Stakeholder Management, Scrum, Agile, User Stories"
8329,ML Engineer,"Python, Computer Vision, Cloud, PyTorch, MLOps, TensorFlow, Keras"
8330,Software Engineer,"Spring Boot, Docker, System Design, Git, Java, Agile, REST APIs"
8331,Data Analyst,"Statistics, SQL, Pandas"
8332,Data Analyst,"Deep Learning, Pandas, Machine Learning, NLP, Statistics, Python"
8333,Data Analyst,"Power BI, SQL, Tableau"
8334,Software Engineer,"Git, System Design, Java"
8335,ML Engineer,"Python, PyTorch, Cloud"
8336,Data Analyst,"Machine Learning, Pandas, SQL"
8337,Software Engineer,"Spring Boot, REST APIs, Agile"
8338,ML Engineer,"PyTorch, MLOps, Python, Keras, Cloud, Computer Vision"
8339,Data Analyst,"Data Cleaning, Power BI, Reporting, Tableau, SQL"
8340,Software Engineer,"Java, Docker, Spring Boot, Git, Agile, REST APIs"
8341,Product Manager,"Scrum, Stakeholder Management, Product Roadmap"
8342,Data Analyst,"Pandas, Machine Learning, Python, Deep Learning, Statistics, NLP"
8343,Data Analyst,"Pandas, Machine Learning, Python"
8344,Data Analyst,"NLP, Machine Learning, Deep Learning"
8345,Software Engineer,"System Design, Docker, Java, Agile"
8346,Software Engineer,"Java, REST APIs, System Design, Docker, Spring Boot, Agile, Git"
8347,Software Engineer,"Git, System Design, Spring Boot, Agile, Java, Docker, REST APIs"
8348,Data Analyst,"Excel, Data Cleaning, SQL, Reporting, Power BI"
8349,ML Engineer,"Python, Cloud, MLOps"
8350,Data Analyst,"Machine Learning, Deep Learning, SQL"
8351,Product Manager,"User Stories, Agile, Product Roadmap"
8352,Data Analyst,"SQL, Data Cleaning, Excel"
8353,Data Analyst,"Excel, Power BI, Data Cleaning, Reporting, SQL, Tableau"
8354,Data Analyst,"Reporting, Data Cleaning, SQL, Tableau"
8355,Product Manager,"Stakeholder Management, Scrum, Agile, Product Roadmap"
8356,Software Engineer,"Agile, REST APIs, Java, Spring Boot"
8357,Data Analyst,"Pandas, SQL, Statistics"
8358,Data Analyst,"SQL, Deep Learning, Machine Learning, Pandas, NLP, Statistics"
8359,Software Engineer,"Java, REST APIs, Docker"
8360,Data Analyst,"Excel, SQL, Power BI"
8361,Product Manager,"User Stories, Product Roadmap, Agile, Scrum, Stakeholder Management"
8362,Data Analyst,"Power BI, Excel, Reporting, Tableau, Data Cleaning"
8363,Data Analyst,"Power BI, Reporting, Excel, Data Cleaning"
8364,Data Analyst,"Data Cleaning, Reporting, Tableau, SQL, Excel, Power BI"
8365,ML Engineer,"Keras, MLOps, Cloud, PyTorch"
8366,Data Analyst,"Deep Learning, SQL, Machine Learning, Python"
8367,Software Engineer,"Spring Boot, Java, System Design, REST APIs, Agile, Git"
8368,ML Engineer,"TensorFlow, Cloud, Keras"
8369,Software Engineer,"Git, Spring Boot, Agile, REST APIs, Java"
8370,ML Engineer,"PyTorch, MLOps, Keras, TensorFlow, Computer Vision"
8371,Data Analyst,"Deep Learning, SQL, Statistics, Python, Pandas, Machine Learning, NLP"
8372,ML Engineer,"Python, Keras, PyTorch, MLOps, Cloud"
8373,Product Manager,"Scrum, Product Roadmap, User Stories, Stakeholder Management, Agile"
8374,Data Analyst,"Data Cleaning, Tableau, SQL"
8375,Data Analyst,"Reporting, Excel, Power BI, SQL, Data Cleaning, Tableau"
8376,Data Analyst,"Reporting, Excel, SQL, Tableau, Power BI"
8377,Product Manager,"Stakeholder Management, User Stories, Scrum, Agile, Product Roadmap"
8378,Software Engineer,"System Design, Java, Spring Boot, Agile"
8379,Data Analyst,"SQL, NLP, Statistics"
8380,Data Analyst,"Deep Learning, NLP, Machine Learning"
8381,Data Analyst,"NLP, Python, Pandas, SQL, Machine Learning, Statistics"
8382,ML Engineer,"Python, Cloud, Keras"
8383,Software Engineer,"Git, Docker, Agile, REST APIs"
8384,Data Analyst,"Deep Learning, SQL, Machine Learning, NLP, Statistics, Pandas, Python"
8385,Data Analyst,"NLP, Deep Learning, Machine Learning, Statistics, Python"
8386,Data Analyst,"Data Cleaning, Power BI, Tableau, Reporting, SQL"
8387,Product Manager,"Scrum, User Stories, Stakeholder Management, Product Roadmap, Agile"
8388,Data Analyst,"Reporting, Tableau, SQL, Power BI"
8389,Software Engineer,"Java, Docker, Agile"
8390,ML Engineer,"MLOps, TensorFlow, Keras"
8391,ML Engineer,"Keras, TensorFlow, Python, MLOps, PyTorch, Computer Vision, Cloud"
8392,Data Analyst,"Statistics, Python, NLP, SQL, Machine Learning, Deep Learning, Pandas"
8393,Data Analyst,"Excel, Reporting, Power BI, Data Cleaning"
8394,ML Engineer,"Computer Vision, Cloud, Keras, Python, PyTorch, MLOps, TensorFlow"
8395,Product Manager,"Agile, User Stories, Stakeholder Management, Product Roadmap, Scrum"
8396,Product Manager,"User Stories, Product Roadmap, Scrum"
